Rating,Title,Review,Movie,NPS,Classificação,Confiança
10.0,Nostalgia satisfied,"Movie was so great that I wanted to go to theater another time, loved it ao much and loved the atmosphere in the theater and I want to experience that feeling one more time.",Spider-Man: No Way Home,Promotor,Promotor,0.7503657547471294
10.0,Best Movie of 2021,OP Movie Best movie of 2021 You can Watch with Friends And Family. OP Movie Best movie of 2021 You can Watch with Friends And Family. OP Movie Best movie of 2021 You can Watch with Friends And Family. OP Movie Best movie of 2021 You can Watch with Friends And Family.,Spider-Man: No Way Home,Promotor,Promotor,0.7122102743971214
9.0,In my top 3 marvel films!,"This film is excellent, it has everything. It's rare to leave the cinema feeling excited and overwhelmed and still be talking about it a week later! I would've give this a 10 however you can tell towards the end Sony have had huge influence on this and I fear for the next film/s.... I just hope they don't make tom Holland's Spiderman into the previous 2!",Spider-Man: No Way Home,Promotor,Promotor,0.8034181025415672
10.0,Somehow better than Endgame,"Greetings from Lithuania.

I wasn't the biggest fan of previous two movies. I felt they were to independent and carried the weight of Avengers. Yet they were fun entertainment. But this instalment called ""Spider-Man: No Way Home"" (2021) was best of the three. If you are a fan of Spider Man in general - go see this on the biggest screen possible, and i will say it no more.",Spider-Man: No Way Home,Promotor,Promotor,0.7679709103720299
9.0,Memories,No words man! It was simply unbelievable! What an epic experience it was! Literally brought back memories from my childhood! Thank you marvel! Thank you so much for this wonderful experience.,Spider-Man: No Way Home,Promotor,Neutro,0.6865573015880013
10.0,10/10 Recommended!!,"It was a really entertaining film! My entire family thoroughly likes viewing it, and it is unquestionably one of the best movies I have ever seen in my entire life!",Spider-Man: No Way Home,Promotor,Promotor,0.80431251988782
7.0,Amazing ending to the trilogy!,"Spider-Man: No Way Home was so hyped that at some point I though this might be the second coming of jesus christ lmao. The movie was so hyped and people were really excited to see the film and it turned out pretty good (ofc it will because it has 3 spider-man's in it).

To start with the good things as always let's praise the CGi work here I mean almost 95% of the marvel movies have great CGi and here it's also the same case the CGi looked great, the film was packed with a lot of action sequences, the colors were on point, the choreography was excellent.

The story is simple and straight forward but it ignores the storyline in the 2nd half and focuses on the 3 spider-man's a lot I mean everyone knows who is spider-man but still dude is travelling here and there without having to worry about people and he's accused of being the person behind all the things happened in far from home. Also the villains don't add up that much into the film except greeb goblin others are just there and does nothing else it felt like marvel just added them so people won't ask them questions like 'where are the rest of the villains?' also this same case goes for andrew and tobey's spider-man having less screen time and dialogues but still they did their work in the film.

Marvel could've make it a lot better film if they didn't focused too much on the multiverse and doctor strange but still it's a good movie I pretty much enjoyed it myself.",Spider-Man: No Way Home,Neutro,Promotor,0.7770044382133471
5.0,Good but overrated,The movie was good but nothing perfect. I was so bored the firsy hour. When Tobey and Andrew showed up i started to enjoy it more. I would like to see a more epic way for Andrew and Tobey's entrance. The script was bad for me. Especially the part where ned can open portals. As i said it was just a good movie. Nothing perfect.,Spider-Man: No Way Home,Detrator,Neutro,0.7589244600668241
9.0,Believe The Hype.,"12/28/2021: To me, it was Into The Spiderverse, the live version. I left the theater feeling something strange that I haven't felt in a while after exiting a movie theater: Joy, excitement, happiness, and satisfaction. No preachy annoying character, no grandstanding speech and no politics. This is my first time seeing Tom Holland as Spider-Man. I grew up on Toby Mcguire's Spider-Man and saw the second Andrew Garfield movie. I wasn't a fan of Garfield as Spider-Man in his film, but I absolutely loved him in this movie. You could see his redemption arc coming, but it still hits you in your heart. This movie strikes a balanced tone and the emotional moments paid off because I cared about every single character. The villains were incredible! Willem Dafoe steals every scene he's in and deserves award consideration. The scene where the Green Goblin stops Tom Holland's Peter Parker's plan to save the villains by erasing their powers was so intense, I think I stopped breathing. Doctor Strange was brutally true that one's fate is their fate and Aunt Mae paid the ultimate price because Spider-Man ignored that fact. Benedict Cumberbatch and Tom Holland have great chemistry! Thank you to the screenplay writers and cast for giving the fans an unforgettable Spider-Man experience. All three of the Spider-Man actors sharing scenes was surreal. It was a wild, action-packed, well-acted, well-directed experience with a well-earned bittersweet ending, and the Doctor Strange visual effects were amazing. Watching the villains disappear as Doctor Strange's spell-to-erase-Spiderman-from-memories unfolds and watching Spider-Man say his goodbyes was heartbreaking. What a cinematic experience! Now, I must see every Tom Holland Spider-Man film past and future.",Spider-Man: No Way Home,Promotor,Promotor,0.7061357914922387
10.0,Never expected best spiderman movie ever 💙,"Never expected this type movie Dreams come true Love you spider man.

I watching first spiderman movie in 2009 and now again same hero after 11 years is such a incredible way I hope spiderman future is like iron man And i belive next iron man is spiderman.",Spider-Man: No Way Home,Promotor,Promotor,0.7851587979520054
